brand,model,year,mileage,fuel_type,engine,transmission,price
Jeep,Compass Limited,2022,20472,Gasoline,2.4L I4 16V MPFI SOHC,9-Speed Automatic,28298
INFINITI,QX80 SENSORY,2023,8600,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,78990
Chevrolet,Silverado 1500 Limited LT Trail Boss,2022,4753,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,57000
Chevrolet,Camaro 1SS,2021,15000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,43500
Land Rover,Defender S,2023,15840,Gasoline,296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,69900
Chevrolet,Corvette Stingray w/2LT,2020,12500,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,84999
Dodge,Durango SRT,2020,36000,Gasoline,475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,62000
Toyota,Highlander XLE,2023,8727,Gasoline,2.4L I4 16V PDI DOHC Turbo,8-Speed Automatic,44596
Dodge,Challenger R/T,2020,54000,Gasoline,372.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,34000
Chevrolet,Bolt EV LT,2020,49688,,200.0HP Electric Motor Electric Fuel System,A/T,24900
Mercedes-Benz,Metris Base,2020,14000,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,48000
Dodge,Charger SRT Hellcat Widebody,2023,5000,Gasoline,717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,110000
Chevrolet,Silverado 1500 ZR2,2022,11597,Gasoline,6.2L V8 16V GDI OHV,Automatic,68590
Lamborghini,Urus Base,2021,20069,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,229900
Hyundai,Palisade Calligraphy,2023,1500,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,55000
BMW,M3 Competition xDrive,2023,3490,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,95580
Honda,Passport TrailSport,2023,11649,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,39999
Toyota,Avalon Limited,2022,16156,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,39390
GMC,Yukon Denali,2021,30022,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,74500
Ford,Explorer XLT,2021,33705,Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,36995
Acura,TLX Type S w/Performance Tire,2023,4700,Gasoline,355.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,52000
Toyota,Tacoma Base,2020,27256,Gasoline,3.5 Liter,6 Speed At/Mt,42998
Audi,Q5 S line Premium Plus,2022,13895,Hybrid,2.0 Liter TFSI,Automatic,44998
GMC,Yukon XL Denali,2022,48306,Gasoline,6.2L V8 16V GDI OHV,10-Speed Automatic,71999
Mazda,CX-30 Premium Package,2021,45303,Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,25382
Jeep,Grand Cherokee L Laredo,2022,10232,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,44646
Acura,MDX w/Advance Package,2023,3708,Gasoline,3.5 Liter SOHC,Automatic,58998
Subaru,Impreza Premium,2022,10419,Gasoline,"2L H-4 gasoline direct injection, DOHC, variable valve control,",Variable,24998
Subaru,Ascent Limited 7-Passenger,2022,12700,Gasoline,260.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,38500
GMC,Sierra 1500 Limited Elevation,2022,24900,Gasoline,310.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,49900
Cadillac,Escalade ESV Sport,2021,4283,Gasoline,6.2L V8 16V GDI OHV,10-Speed Automatic,479995
Lexus,LX 570 Three-Row,2021,48300,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,82000
Aston Martin Martin Martin,Vantage Base,2022,1023,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,156900
Ford,Bronco Sport Big Bend,2021,30176,Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,28979
Nissan,Titan SV,2021,27598,Gasoline,5.6L V8 32V GDI DOHC,9-Speed Automatic,39884
Volkswagen,Arteon 2.0T SEL R-Line,2020,15500,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,30000
Chevrolet,Suburban LT,2022,37806,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,60894
Jeep,Grand Cherokee L Limited,2022,13275,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,42599
Ford,F-350 Lariat,2021,28220,Diesel,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,73600
Chevrolet,Corvette Stingray w/3LT,2023,4200,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,98000
Bentley,Continental GT V8 First Edition,2020,27404,Gasoline,"4L V-8 gasoline direct injection, DOHC, variable valve control,",Automatic,199991
Land Rover,Defender V8,2022,3000,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,96500
Tesla,Model 3 Base,2022,12080,,271.0HP Electric Motor Electric Fuel System,A/T,36750
Rivian,R1S Adventure Package,2023,250,,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,97500
Toyota,Tundra Limited,2022,3959,Gasoline,389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,55000
Jeep,Grand Cherokee Limited,2020,47500,Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,31000
Tesla,Model 3 Performance,2021,33000,,455.0HP Electric Motor Electric Fuel System,1-Speed A/T,55000
Kia,Sorento Hybrid EX,2022,36100,Hybrid,227.0HP 1.6L 4 Cylinder Engine Gas/Electric Hybrid,6-Speed A/T,37500
Jeep,Compass Latitude,2020,17500,Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,25695
Dodge,Durango SRT 392,2021,17000,Gasoline,475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,65000
Volkswagen,Atlas 3.6L SEL Premium,2021,36311,Gasoline,3.6L V6 24V GDI DOHC,8-Speed Automatic,39127
Nissan,Murano SV,2021,23677,Gasoline,3.5L V6 24V MPFI DOHC,Automatic CVT,29510
Buick,Envision Essence,2020,27340,Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,31700
Chevrolet,Silverado 1500 RST,2020,26177,Gasoline,5.3L V8 16V GDI OHV,Automatic,41986
Bentley,Continental GT GT Speed,2022,1919,Gasoline,12 Cylinder Engine,8-SPEED A/T,289991
Ford,F-150 XLT,2022,18465,Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,47500
Buick,Enclave Essence,2020,55403,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,29444
BMW,M4 Competition xDrive,2022,3213,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,89995
Tesla,Model 3 Long Range,2021,32670,,Electric Motor Electric Fuel System,A/T,37000
Rivian,R1T Launch Edition,2022,8681,,835.0HP Electric Motor Electric Fuel System,A/T,82000
Toyota,4Runner SR5 Premium,2023,1400,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,46500
Mercedes-Benz,G-Class G 550 4MATIC,2021,75151,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,130000
Jeep,Gladiator Rubicon,2020,27981,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,47500
Chevrolet,Corvette Stingray w/2LT,2021,3053,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,83900
Mazda,MX-5 Miata Club,2021,5093,Gasoline,181.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,28000
Jeep,Wrangler Unlimited 4xe Sahara,2022,10500,Plug-In Hybrid,375.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,49999
Nissan,Titan SL,2021,95993,Gasoline,5.6L V8 32V GDI DOHC,9-Speed Automatic,32612
Kia,Telluride SX,2022,26716,Gasoline,"LAMBDA II 3.8L V-6 gasoline direct injection, DOHC, D-CVVT varia",Automatic,47541
Chevrolet,Tahoe RST,2023,39517,Gasoline,5.3L V8 16V GDI OHV,10-Speed Automatic,67190
RAM,2500 Tradesman,2020,41000,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,45515
BMW,840 i xDrive,2024,1500,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,90000
Cadillac,Escalade ESV Premium Luxury Platinum,2021,31500,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,95000
RAM,2500 Big Horn,2021,45867,Gasoline,6.4L V8 16V MPFI OHV,Automatic,43449
BMW,M5 Base,2021,13250,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,86900
BMW,ALPINA B7 ALPINA B7 xDrive,2020,15097,Gasoline,4.4 Liter Twin Turbo,Automatic,99998
BMW,228 Gran Coupe i xDrive,2020,10426,Gasoline,2.0 Liter Turbo,Automatic,30798
Ford,Expedition Limited,2023,9500,Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,63500
Subaru,BRZ Limited,2022,10500,Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,32500
Nissan,Rogue Sport S,2021,24000,Gasoline,141.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,25500
Lincoln,Nautilus Reserve,2021,19700,Gasoline,335.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,48000
RAM,2500 Big Horn,2020,51000,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,44900
Tesla,Model Y Performance,2021,17500,,455.0HP Electric Motor Electric Fuel System,A/T,45000
BMW,X5 xDrive40i,2020,5541,Gasoline,3.0 Liter Turbo,Automatic,56598
Kia,Sportage LX,2023,13000,Gasoline,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,31900
Chevrolet,Silverado 1500 High Country,2020,88161,Gasoline,6.2L V8 16V GDI OHV,Automatic,48889
Tesla,Model Y Long Range,2022,21404,,425.0HP Electric Motor Electric Fuel System,A/T,49500
Chevrolet,Silverado 1500 LTZ,2021,62257,Gasoline,5.3L V8 16V GDI OHV,8-Speed Automatic,42590
Land Rover,Range Rover Sport P400 SE Dynamic,2023,450,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,124000
Kia,Sorento Plug-In Hybrid SX,2022,15583,Hybrid,1.6L I4 16V GDI DOHC Turbo Hybrid,6-Speed Automatic,40599
Cadillac,Escalade Sport,2023,8532,Diesel,3.0L I6 24V DDI DOHC Turbo Diesel,10-Speed Automatic with Overdrive,109900
GMC,Sierra 1500 SLT,2021,12941,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,51500
Audi,Q5 S line Premium,2022,8193,Hybrid,2.0 Liter TFSI,Automatic,42598
Lexus,RX 350 F Sport Performance,2020,43277,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,43599
Jaguar,E-PACE 300 Sport,2021,23600,Hybrid,296.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,42999
Porsche,718 Spyder Base,2022,4700,Gasoline,414.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,134000
Audi,A6 45 Premium Plus,2021,33000,Hybrid,248.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,40000
Acura,RDX PMC Edition,2021,44457,Gasoline,2.0 Liter Turbo,2,40598
Chevrolet,Silverado 1500 RST,2023,5006,Gasoline,5.3L V8 16V GDI OHV,10-Speed Automatic,59590
BMW,M3 Competition,2021,33500,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,71000
RAM,3500 Tradesman,2021,57000,Diesel,400.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,52000
BMW,X5 xDrive40i,2020,4880,Gasoline,3.0 Liter Turbo,Automatic,57998
Buick,Enclave Avenir,2021,31181,Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,42442
Lexus,NX 300h Base,2020,16425,Hybrid,2.5L I4 16V MPFI DOHC Hybrid,Automatic CVT,33200
Lexus,RX 350 RX 350 F SPORT Handling,2022,11238,Gasoline,3.5 Liter DOHC,Automatic,54798
INFINITI,QX60 Luxe,2020,38400,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,32100
Rivian,R1S Adventure Package,2023,159,,533.0HP Electric Motor Electric Fuel System,A/T,95500
Lamborghini,Huracan EVO Base,2020,6246,Gasoline,5.2L V10 40V GDI DOHC,7-Speed Automatic with Auto-Shift,267950
Porsche,718 Cayman GT4,2020,13554,Gasoline,414.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,124995
Mercedes-Benz,A-Class A 220 4MATIC,2020,30930,Gasoline,2.0L I4 16V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,28900
Chevrolet,Camaro 2SS,2022,22000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,50000
Volkswagen,ID.4 Pro S,2023,16800,,295.0HP Electric Motor Electric Fuel System,1-Speed A/T,45000
Chevrolet,Silverado 2500 High Country,2022,16000,Diesel,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,A/T,73995
Nissan,Altima 2.5 SV,2020,22295,Gasoline,2.5L I4 16V GDI DOHC,Automatic CVT,23599
Bentley,Continental GT V8,2020,33000,Gasoline,542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,188500
Toyota,Sequoia Platinum,2023,1025,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,85000
Toyota,Highlander Limited,2020,53550,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,39687
Ford,Edge SEL,2021,56946,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,26299
Maserati,Levante GTS,2021,19513,Gasoline,3.8L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,84645
Subaru,Outback Limited,2021,15636,Gasoline,2.5L H4 16V GDI DOHC,Automatic CVT,33531
Hyundai,Palisade Limited,2020,45815,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,37700
Ford,F-150 XLT,2021,25352,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,48459
Lexus,GX 460 Luxury,2020,37366,Gasoline,4.6L V8 32V MPFI DOHC,6-Speed Automatic,51890
Tesla,Model S Long Range,2021,35315,,670.0HP Electric Motor Electric Fuel System,1-Speed A/T,66900
Jeep,Grand Cherokee Limited,2022,12050,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,41599
Honda,Odyssey EX-L,2022,18385,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,37950
Lexus,GX 460 Premium,2020,22466,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,45900
Chrysler,300 Touring,2020,23152,Gasoline,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,28250
Nissan,Pathfinder SL,2020,45000,Gasoline,284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,28999
Rivian,R1S Launch Edition,2023,1885,,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,93500
Nissan,Titan SV,2021,7250,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,38000
GMC,Acadia Denali,2021,18083,Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,43999
Chevrolet,Malibu Premier,2021,33400,Gasoline,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,28000
Lexus,IS 350 F Sport,2021,26800,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,44000
Tesla,Model Y Performance,2022,30000,,455.0HP Electric Motor Electric Fuel System,A/T,51999
Cadillac,Escalade Sport Platinum,2021,28121,Gasoline,6.2L V8 16V GDI OHV,10-Speed Automatic,89000
Chevrolet,Corvette Z06 w/2LZ,2023,202,Gasoline,670.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,179000
Tesla,Model Y Performance,2021,11200,,455.0HP Electric Motor Electric Fuel System,1-Speed A/T,47500
Volvo,XC40 T5 Momentum,2020,56536,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,26599
Acura,TLX Type S PMC Edition,2023,13600,Gasoline,355.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,65000
Porsche,Macan Base,2022,13000,Gasoline,261.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,60000
Chevrolet,Corvette Stingray w/2LT,2020,1800,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,76000
Lamborghini,Urus Pearl Capsule,2021,3771,Gasoline,"4L V-8 gasoline direct injection, DOHC, variable valve control,",Automatic,259991
Mercedes-Benz,AMG GT C,2020,15000,Gasoline,550.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,129000
Jeep,Wrangler Sport,2021,11756,Gasoline,"2L I-4 gasoline direct injection, DOHC, intercooled turbo, engin",Automatic,33400
Land Rover,Range Rover P530 SE,2023,1869,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,Automatic,164725
Dodge,Durango SRT 392,2022,31917,Gasoline,475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,64683
Chevrolet,Tahoe Premier,2020,137000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,46000
Ford,F-250 Platinum,2022,6600,Gasoline,430.0HP 7.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,72900
Porsche,Macan,2021,16554,Gasoline,2.0 Liter,Automatic,51698
BMW,X5 PHEV xDrive45e,2023,15736,Plug-In Hybrid,389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,67900
Porsche,Macan S,2022,20250,Gasoline,375.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,68500
Jeep,Grand Cherokee L Limited,2022,18333,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,41599
Porsche,Macan Turbo,2021,14526,Gasoline,2.9 Liter Turbo,Automatic,79998
Porsche,Macan S,2020,29136,Gasoline,3.0 Liter Turbo,Automatic,58598
Toyota,Tundra Platinum,2023,8800,Gasoline,389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,A/T,68500
Mercedes-Benz,AMG GT 53 Base,2022,2235,Hybrid,429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,110000
Chevrolet,Camaro 2SS,2022,1400,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,54900
Honda,Civic Sport,2021,42750,Gasoline,1.5L I4 16V GDI DOHC Turbo,Automatic CVT,25698
BMW,M3 Competition,2022,14269,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,80000
Lexus,LC 500 Base,2022,6875,Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,89000
Ford,F-150 XL,2021,88883,Gasoline,2.7L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,33172
Chevrolet,Traverse High Country,2020,56247,Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,39244
Ford,F-150 XLT,2021,24207,Gasoline,2.7L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,43430
Tesla,Model Y Long Range,2022,9411,,Dual Motor - Standard,Automatic,47998
Ford,Maverick XLT,2022,16400,Hybrid,191.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,34000
BMW,X6 xDrive40i,2021,72903,Hybrid,3.0 Liter Turbo,SCHEDULED FOR OR IN PRODUCTION,53998
Ford,Bronco Big Bend,2022,17000,Gasoline,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,44000
Audi,Q5 S line Premium Plus,2023,6682,Hybrid,2.0 Liter TFSI,Automatic,47798
Lexus,LX 570 Three-Row,2020,59419,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,73000
Nissan,GT-R Premium,2021,22185,Gasoline,3.8L V6 24V MPFI DOHC Twin Turbo,6-Speed Automatic with Auto-Shift,131999
Chevrolet,Silverado 2500 WT,2021,63866,Gasoline,6.6L V8 16V GDI OHV,Automatic,41885
Bentley,Continental GT V8,2022,1795,Gasoline,"4L V-8 gasoline direct injection, DOHC, variable valve control,",Automatic,269991
Volkswagen,Golf R Base,2022,1067,Gasoline,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,48000
Honda,Civic Sport,2020,22227,Gasoline,2.0L I4 16V MPFI DOHC,Automatic CVT,25980
Land Rover,Range Rover HSE SWB,2020,57785,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,63995
Lexus,LX 570 Three-Row,2021,25997,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,87000
Chevrolet,Suburban Z71,2022,36555,Gasoline,5.3L V8 16V GDI OHV,Automatic,64288
Mercedes-Benz,S-Class S 580 4MATIC,2023,989,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,122950
Chevrolet,Equinox Premier w/2LZ,2020,51133,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,25800
Mercedes-Benz,GLE 350 Base 4MATIC,2022,24500,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,82150
BMW,X6 xDrive40i,2021,27654,Hybrid,3.0 Liter Turbo,Automatic,61998
Rivian,R1S Adventure Package,2023,542,,835.0HP Electric Motor Electric Fuel System,A/T,92500
Toyota,Highlander Platinum,2020,41000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,38700
Toyota,RAV4 Prime XSE,2022,7100,Plug-In Hybrid,302.0HP 2.5L 4 Cylinder Engine Plug-In Electric/Gas,A/T,49000
Porsche,911 Carrera 4 GTS,2023,1518,Gasoline,473.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,194965
Chevrolet,Corvette Stingray w/2LT,2023,5200,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,88900
Hyundai,Accent SEL,2022,5100,Gasoline,120.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,A/T,19500
Ford,Expedition Max XLT,2020,67072,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,38500
Ford,F-150 XLT,2020,53401,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,39500
Ford,F-150 Platinum,2021,15555,Gasoline,5.0L 8 Cylinder,10-Speed Automatic,62890
Land Rover,Range Rover Velar P250 S R-Dynamic,2020,30500,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,44000
Mercedes-Benz,Sprinter 2500 Standard Roof,2022,4590,Gasoline,188.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,64000
Chevrolet,Suburban RST,2022,21400,Diesel,277.0HP 3.0L Straight 6 Cylinder Engine Diesel Fuel,10-Speed A/T,69000
Subaru,Crosstrek Premium,2022,10000,Gasoline,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,28000
Mercedes-Benz,GLC 300 GLC 300,2022,16983,Gasoline,2.0 Liter Turbo,Automatic,40998
Ford,Edge SE,2020,71200,Gasoline,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,18900
Dodge,Durango GT,2022,24778,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,36599
Alfa Romeo,Stelvio Ti,2023,6645,Gasoline,2.0L I4 16V GDI SOHC Turbo,8-Speed Automatic,43900
Volkswagen,Golf GTI 2.0T Autobahn,2022,6400,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,41500
Toyota,4Runner SR5 Premium,2021,36180,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,36990
Ford,Bronco Badlands,2021,32437,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,51000
Toyota,4Runner Limited,2021,25882,Gasoline,"4L V-6 DOHC, VVT-i variable valve control, engine with 270HP",Automatic,43837
Ford,F-250 Lariat,2023,3763,Diesel,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,92000
Jeep,Gladiator Overland,2020,20655,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,42850
Porsche,911 Carrera S,2023,1877,Gasoline,443.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,185950
Chevrolet,Suburban Premier,2021,51890,Gasoline,5.3L V8 16V GDI OHV,10-Speed Automatic,59980
Chevrolet,Suburban High Country,2021,59528,Gasoline,6.2L V8 16V GDI OHV,10-Speed Automatic,68995
Kia,Niro EV EX,2022,20000,,201.0HP Electric Motor Electric Fuel System,1-Speed A/T,29998
BMW,X3 xDrive30i,2021,38352,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,37400
Porsche,Taycan Base,2021,13344,,321.0HP Electric Motor Electric Fuel System,2-Speed A/T,83499
Ford,F-150 XLT,2020,57000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,37500
Kia,K5 GT-Line,2021,100312,Gasoline,1.6L I4 16V GDI DOHC Turbo,8-Speed Automatic,19980
Bentley,Continental GT W12,2021,16146,Gasoline,"6L W-12 port/direct injection, DOHC, variable valve control, twi",Automatic,239991
Chevrolet,Traverse RS,2023,6000,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,48500
Lexus,RX 350 F SPORT Appearance,2021,28262,Gasoline,3.5 Liter,Automatic,49998
Mazda,CX-50 2.5 Turbo Premium Package,2023,16200,Gasoline,227.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,36900
Mercedes-Benz,EQS 450+ Base,2022,16500,,329.0HP Electric Motor Electric Fuel System,A/T,69500
BMW,X6 M50i,2022,22500,Gasoline,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,74999
Genesis,GV80 2.5T,2023,8100,Gasoline,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,57300
Land Rover,Range Rover Velar R-Dynamic S,2023,12425,Gasoline,I4,Automatic,57619
